"","cidade","area","comodos","banheiros","vagas","andares","animais","mobilia","condominio","aluguel","iptu","seguro","somatorio","cod","andares_new","animais_new","mobilia_new"
"221","Porto Alegre",46,1,1,0,"4","acept","not furnished",0,1040,48,16,1104,221,4,1,0
"223","Belo Horizonte",59,2,2,1,"2","acept","not furnished",190,1100,59,15,1364,223,2,1,0
"224","Belo Horizonte",225,4,3,0,"8","acept","not furnished",1850,7500,466,100,9916,224,8,1,0
"226","Porto Alegre",76,1,1,0,"0","acept","not furnished",209,1249,52,19,1529,226,0,1,0
"229","Belo Horizonte",95,2,1,1,"3","acept","not furnished",646,1000,120,14,1780,229,3,1,0
"236","Porto Alegre",64,2,2,2,"7","not acept","not furnished",450,1500,50,22,2022,236,7,0,0
"237","Rio de Janeiro",140,3,3,2,"4","acept","furnished",2280,12000,535,155,14970,237,4,1,1
"239","Campinas",43,1,1,1,"4","acept","furnished",498,2100,84,27,2709,239,4,1,1
"241","Campinas",58,2,1,1,"3","acept","not furnished",289,950,11,13,1263,241,3,1,0
"242","Belo Horizonte",570,5,6,7,"0","acept","furnished",0,8330,873,137,9340,242,0,1,1
"245","Porto Alegre",47,1,1,1,"1","not acept","furnished",400,2200,0,33,2633,245,1,0,1
"247","Rio de Janeiro",40,1,1,0,"1","acept","furnished",386,1950,91,26,2453,247,1,1,1
"248","Rio de Janeiro",60,1,2,1,"3","acept","not furnished",400,750,80,10,1240,248,3,1,0
"250","Porto Alegre",50,2,1,0,"13","acept","not furnished",340,1130,30,17,1517,250,13,1,0
"251","Porto Alegre",90,3,1,0,"1","acept","not furnished",145,1130,55,17,1347,251,1,1,0
"253","Campinas",91,3,2,2,"12","acept","not furnished",700,2250,175,29,3154,253,12,1,0
"256","Belo Horizonte",155,1,4,0,"4","not acept","not furnished",1117000,2790,64,38,1120000,256,4,0,0
"263","Porto Alegre",94,2,2,2,"8","acept","not furnished",600,2900,230,43,3773,263,8,1,0
"264","Rio de Janeiro",300,4,5,3,"7","acept","not furnished",3850,12750,750,165,17520,264,7,1,0
"265","Rio de Janeiro",100,3,3,1,"3","acept","not furnished",850,3229,100,42,4221,265,3,1,0
"268","Belo Horizonte",308,2,3,3,"0","acept","not furnished",0,2000,171,33,2204,268,0,1,0
"274","Rio de Janeiro",85,3,1,1,"6","acept","not furnished",810,1998,87,26,2921,274,6,1,0
"281","Rio de Janeiro",48,1,1,0,"1","not acept","not furnished",626,1020,53,14,1713,281,1,0,0
"282","Rio de Janeiro",36,1,1,0,"5","acept","not furnished",350,1130,42,15,1537,282,5,1,0
"284","Campinas",75,2,1,1,"2","acept","not furnished",670,1200,121,16,2007,284,2,1,0
"285","Rio de Janeiro",46,2,1,0,"3","not acept","not furnished",270,1600,0,21,1891,285,3,0,0
"287","Porto Alegre",131,3,3,1,"10","acept","furnished",1625,1750,121,26,3522,287,10,1,1
"288","Campinas",90,3,2,1,"3","acept","not furnished",920,1300,129,17,2366,288,3,1,0
"289","Rio de Janeiro",26,1,1,0,"4","not acept","not furnished",390,1650,120,22,2182,289,4,0,0
"290","Rio de Janeiro",44,1,1,0,"3","acept","furnished",400,1100,14,15,1529,290,3,1,1
"292","Belo Horizonte",40,1,1,0,"0","not acept","not furnished",0,900,0,15,915,292,0,0,0
"293","Belo Horizonte",320,4,2,4,"0","acept","not furnished",0,3200,206,53,3459,293,0,1,0
"296","Campinas",70,1,1,0,"6","acept","not furnished",500,800,30,11,1341,296,6,1,0
"297","Rio de Janeiro",60,2,1,1,"5","acept","not furnished",690,1500,25,20,2235,297,5,1,0
"299","Rio de Janeiro",70,2,1,1,"3","acept","not furnished",800,1300,44,17,2161,299,3,1,0
"300","Porto Alegre",300,6,2,2,"0","acept","not furnished",0,6000,242,107,6349,300,0,1,0
"302","Porto Alegre",64,2,2,2,"7","acept","not furnished",450,1600,34,24,2108,302,7,1,0
"303","Rio de Janeiro",80,3,3,1,"7","not acept","not furnished",1100,1470,0,19,2589,303,7,0,0
"309","Porto Alegre",96,3,2,0,"2","acept","not furnished",408,2100,84,31,2623,309,2,1,0
"310","Campinas",236,3,4,4,"10","acept","not furnished",1600,11000,440,140,13180,310,10,1,0
"313","Belo Horizonte",125,3,2,0,"2","acept","not furnished",150,1200,69,16,1435,313,2,1,0
"320","Belo Horizonte",135,4,3,2,"2","not acept","not furnished",868,2450,308,33,3659,320,2,0,0
"322","Porto Alegre",92,2,2,1,"2","acept","not furnished",450,1700,67,25,2242,322,2,1,0
"326","Porto Alegre",28,2,1,1,"0","acept","not furnished",0,600,0,11,611,326,0,1,0
"329","Porto Alegre",44,1,1,0,"5","acept","not furnished",355,1200,20,18,1593,329,5,1,0
"332","Rio de Janeiro",73,2,1,0,"4","acept","not furnished",375,830,120,11,1336,332,4,1,0
"333","Belo Horizonte",19,1,1,0,"5","acept","not furnished",620,1100,85,15,1820,333,5,1,0
"334","Campinas",230,3,5,4,"6","acept","not furnished",1800,7500,0,96,9396,334,6,1,0
"335","Porto Alegre",37,1,1,1,"2","acept","not furnished",500,2500,0,37,3037,335,2,1,0
"337","Rio de Janeiro",115,3,2,1,"8","acept","furnished",1090,2680,114,35,3919,337,8,1,1
"338","Campinas",600,3,3,4,"0","acept","not furnished",0,5500,384,83,5967,338,0,1,0
"339","Rio de Janeiro",700,5,5,4,"0","acept","furnished",1380,15000,1667,229,18280,339,0,1,1
"340","Porto Alegre",35,1,1,0,"1","acept","not furnished",100,815,17,12,944,340,1,1,0
"341","Belo Horizonte",15,1,1,0,"3","not acept","furnished",0,1100,0,15,1115,341,3,0,1
"342","Campinas",80,3,2,1,"2","acept","not furnished",570,1450,125,19,2164,342,2,1,0
"343","Porto Alegre",48,1,1,0,"4","acept","not furnished",200,700,38,11,949,343,4,1,0
"344","Belo Horizonte",96,3,2,1,"2","acept","not furnished",922,1500,137,20,2579,344,2,1,0
"346","Belo Horizonte",105,3,2,2,"2","not acept","not furnished",1681,3300,390,44,5415,346,2,0,0
"347","Belo Horizonte",204,4,4,4,"22","not acept","furnished",2701,10000,760,134,13600,347,22,0,1
"348","Rio de Janeiro",125,3,1,2,"11","acept","not furnished",1317,2600,170,33,4120,348,11,1,0
"349","Rio de Janeiro",50,2,1,0,"3","not acept","not furnished",490,2300,50,30,2870,349,3,0,0
"353","Rio de Janeiro",130,3,4,1,"2","not acept","not furnished",1200,1400,334,19,2953,353,2,0,0
"359","Rio de Janeiro",95,3,2,2,"7","acept","not furnished",985,2300,122,30,3437,359,7,1,0
"367","Porto Alegre",25,1,1,0,"0","acept","furnished",286,984,11,15,1296,367,0,1,1
"369","Belo Horizonte",75,3,2,1,"4","acept","not furnished",600,1500,75,20,2195,369,4,1,0
"370","Belo Horizonte",200,2,4,3,"12","acept","not furnished",1897,15000,827,200,17920,370,12,1,0
"372","Porto Alegre",49,2,1,1,"7","acept","not furnished",360,1150,30,17,1557,372,7,1,0
"373","Porto Alegre",40,1,1,0,"4","not acept","furnished",0,2000,0,30,2030,373,4,0,1
"379","Rio de Janeiro",105,2,2,1,"10","acept","not furnished",1780,1530,134,20,3464,379,10,1,0
"380","Belo Horizonte",105,3,2,2,"7","acept","not furnished",1170,2000,219,27,3416,380,7,1,0
"383","Porto Alegre",120,3,3,2,"5","acept","not furnished",800,3000,167,44,4011,383,5,1,0
"386","Rio de Janeiro",53,2,1,0,"3","not acept","not furnished",535,1800,50,24,2409,386,3,0,0
"388","Campinas",87,4,2,2,"4","acept","not furnished",784,1600,106,21,2511,388,4,1,0
"389","Rio de Janeiro",110,3,1,1,"1","acept","not furnished",557,5000,188,65,5810,389,1,1,0
"390","Belo Horizonte",113,4,2,1,"3","acept","not furnished",1587,4000,429,54,6070,390,3,1,0
"393","Porto Alegre",60,2,2,1,"11","acept","not furnished",469,1500,51,22,2042,393,11,1,0
"394","Porto Alegre",43,1,1,0,"4","not acept","furnished",290,2100,66,31,2487,394,4,0,1
"397","Campinas",306,3,2,2,"0","acept","not furnished",0,2500,422,38,2960,397,0,1,0
"401","Porto Alegre",90,2,1,1,"2","acept","not furnished",405,1100,380,17,1902,401,2,1,0
"403","Campinas",181,2,1,2,"0","acept","not furnished",0,1400,132,22,1554,403,0,1,0
"405","Belo Horizonte",168,5,3,2,"2","acept","not furnished",1443,2900,408,39,4790,405,2,1,0
"406","Rio de Janeiro",73,2,1,0,"1","acept","not furnished",1600,2800,204,37,4641,406,1,1,0
"408","Campinas",60,2,1,1,"0","acept","not furnished",0,1300,180,20,1500,408,0,1,0
"409","Belo Horizonte",362,4,5,0,"19","not acept","not furnished",4138,15000,1975,200,21310,409,19,0,0
"411","Rio de Janeiro",42,1,1,0,"4","not acept","furnished",500,1973,79,26,2578,411,4,0,1
"412","Rio de Janeiro",56,2,1,1,"18","acept","not furnished",568,1000,88,13,1669,412,18,1,0
"415","Belo Horizonte",67,1,1,0,"13","acept","not furnished",375,850,55,12,1292,415,13,1,0
"417","Rio de Janeiro",30,1,1,0,"10","acept","not furnished",850,1100,60,15,2025,417,10,1,0
"420","Campinas",47,2,1,1,"4","acept","not furnished",260,900,25,12,1197,420,4,1,0
"421","Rio de Janeiro",590,6,6,2,"0","acept","furnished",750,8000,975,122,9847,421,0,1,1
"425","Porto Alegre",84,3,2,2,"4","acept","not furnished",750,3300,100,49,4199,425,4,1,0
"428","Campinas",73,3,1,1,"4","acept","not furnished",308,850,46,11,1215,428,4,1,0
"430","Rio de Janeiro",57,1,1,0,"2","acept","not furnished",200,1100,10,15,1325,430,2,1,0
"431","Campinas",48,1,1,0,"9","acept","not furnished",350,650,21,9,1030,431,9,1,0
"432","Rio de Janeiro",30,1,1,0,"8","acept","not furnished",390,800,25,11,1226,432,8,1,0
"433","Campinas",198,6,3,4,"0","acept","not furnished",0,2000,145,31,2176,433,0,1,0
"434","Porto Alegre",47,1,1,0,"2","not acept","not furnished",300,1000,59,15,1374,434,2,0,0
"435","Porto Alegre",60,2,1,1,"3","acept","not furnished",250,800,22,12,1084,435,3,1,0
"437","Belo Horizonte",90,2,1,1,"0","not acept","not furnished",0,1520,0,25,1545,437,0,0,0
"438","Rio de Janeiro",129,3,2,1,"8","acept","furnished",1200,3255,167,42,4664,438,8,1,1
"440","Porto Alegre",55,1,1,0,"14","acept","not furnished",700,1020,29,15,1764,440,14,1,0
"441","Porto Alegre",52,1,1,0,"0","acept","not furnished",150,1200,42,18,1410,441,0,1,0
"444","Belo Horizonte",312,4,3,3,"1","acept","not furnished",1498,2300,463,31,4292,444,1,1,0
"448","Rio de Janeiro",72,2,2,1,"2","not acept","furnished",914,3600,133,47,4694,448,2,0,1
"451","Belo Horizonte",160,3,3,2,"4","acept","not furnished",150,2400,263,32,2845,451,4,1,0
"453","Rio de Janeiro",65,1,1,0,"0","acept","not furnished",300,1800,30,24,2154,453,0,1,0
"455","Porto Alegre",70,2,2,1,"6","acept","not furnished",440,1900,57,28,2425,455,6,1,0
"456","Porto Alegre",38,1,1,0,"2","acept","not furnished",340,650,350,10,1350,456,2,1,0
"458","Rio de Janeiro",67,2,1,1,"2","acept","not furnished",1217,2200,130,29,3576,458,2,1,0
"465","Belo Horizonte",45,2,1,0,"0","acept","not furnished",0,1350,0,23,1373,465,0,1,0
"466","Campinas",57,1,1,1,"2","acept","not furnished",605,800,66,11,1482,466,2,1,0
"467","Porto Alegre",88,1,2,2,"3","acept","not furnished",340,1600,40,24,2004,467,3,1,0
"470","Rio de Janeiro",36,1,1,0,"10","acept","not furnished",450,1370,29,18,1867,470,10,1,0
"471","Porto Alegre",61,2,2,2,"11","acept","not furnished",445,2500,42,37,3024,471,11,1,0
"474","Campinas",45,1,1,1,"17","acept","furnished",0,1950,0,25,1975,474,17,1,1
"476","Porto Alegre",62,2,1,0,"4","acept","not furnished",352,736,28,11,1127,476,4,1,0
"480","Rio de Janeiro",66,2,1,1,"2","acept","not furnished",650,1250,0,17,1917,480,2,1,0
"482","Campinas",62,2,1,2,"7","acept","not furnished",609,1500,90,20,2219,482,7,1,0
"489","Campinas",72,2,2,1,"7","acept","not furnished",480,850,9,11,1350,489,7,1,0
"491","Porto Alegre",360,3,4,3,"5","acept","furnished",4000,13200,500,193,17890,491,5,1,1
"492","Campinas",38,1,1,1,"9","acept","not furnished",500,740,30,10,1280,492,9,1,0
"494","Porto Alegre",440,3,3,3,"7","not acept","not furnished",100,10500,84,154,10840,494,7,0,0
"496","Rio de Janeiro",90,2,2,0,"5","acept","not furnished",830,2500,84,33,3447,496,5,1,0
"497","Porto Alegre",125,4,2,0,"7","acept","not furnished",1006,1632,150,14,2802,497,7,1,0
"500","Belo Horizonte",123,3,2,1,"3","acept","not furnished",363,2600,143,35,3141,500,3,1,0
"501","Campinas",53,2,1,1,"0","acept","not furnished",284,2000,41,26,2351,501,0,1,0
"502","Rio de Janeiro",70,2,1,1,"2","acept","not furnished",560,2180,60,29,2829,502,2,1,0
"505","Campinas",74,3,1,1,"4","acept","not furnished",474,900,40,12,1426,505,4,1,0
"508","Rio de Janeiro",125,3,1,2,"3","not acept","not furnished",1000,2200,159,29,3388,508,3,0,0
"510","Porto Alegre",350,3,2,4,"0","acept","furnished",0,6522,492,116,7130,510,0,1,1
"511","Belo Horizonte",417,3,5,8,"0","acept","not furnished",0,7650,450,126,8226,511,0,1,0
"512","Porto Alegre",350,4,4,4,"0","acept","not furnished",0,6000,192,107,6299,512,0,1,0
"516","Porto Alegre",110,3,3,2,"5","acept","furnished",1300,4000,300,59,5659,516,5,1,1
"525","Rio de Janeiro",26,1,1,0,"7","acept","furnished",630,1500,84,20,2234,525,7,1,1
"529","Campinas",60,1,1,1,"14","acept","not furnished",583,1100,49,14,1746,529,14,1,0
"535","Belo Horizonte",548,4,7,6,"17","acept","not furnished",5905,15000,2484,200,23590,535,17,1,0
"538","Belo Horizonte",193,4,2,2,"0","acept","not furnished",0,8900,255,146,9301,538,0,1,0
"539","Belo Horizonte",428,5,5,4,"0","acept","furnished",0,9600,667,158,10430,539,0,1,1
"542","Rio de Janeiro",103,2,2,1,"8","acept","not furnished",530,1600,221,21,2372,542,8,1,0
"543","Campinas",103,3,2,2,"2","acept","not furnished",1500,1360,292,18,3170,543,2,1,0
"547","Belo Horizonte",500,7,4,4,"0","acept","not furnished",0,5500,167,91,5758,547,0,1,0
"551","Porto Alegre",106,3,3,1,"7","acept","not furnished",900,2250,186,33,3369,551,7,1,0
"552","Rio de Janeiro",30,1,1,0,"11","acept","not furnished",500,1200,21,16,1737,552,11,1,0
"561","Belo Horizonte",260,5,3,3,"12","acept","not furnished",2000,4000,487,54,6541,561,12,1,0
"565","Belo Horizonte",300,5,5,5,"0","not acept","not furnished",0,4500,450,74,5024,565,0,0,0
"567","Campinas",398,5,6,0,"2","acept","not furnished",3500,8500,700,108,12810,567,2,1,0
"568","Belo Horizonte",100,1,1,0,"1","acept","not furnished",0,2600,0,35,2635,568,1,1,0
"569","Belo Horizonte",176,4,5,3,"6","acept","furnished",2136,6500,704,87,9427,569,6,1,1
"570","Belo Horizonte",90,2,2,2,"4","not acept","furnished",500,4000,250,54,4804,570,4,0,1
"571","Belo Horizonte",680,7,6,8,"0","acept","not furnished",0,8000,428,132,8560,571,0,1,0
"572","Belo Horizonte",220,4,3,0,"9","acept","furnished",3000,15000,1138,200,19340,572,9,1,1
"576","Belo Horizonte",450,4,4,4,"8","acept","not furnished",2394,12700,836,170,16100,576,8,1,0
"577","Rio de Janeiro",103,3,2,0,"1","acept","not furnished",812,3300,336,43,4491,577,1,1,0
"578","Porto Alegre",101,2,2,2,"5","acept","not furnished",480,1800,500,27,2807,578,5,1,0
"580","Rio de Janeiro",28,1,1,0,"0","acept","not furnished",495,1980,68,26,2569,580,0,1,0
"583","Rio de Janeiro",70,3,2,1,"6","acept","not furnished",607,1189,96,16,1908,583,6,1,0
"584","Rio de Janeiro",33,1,1,0,"3","acept","not furnished",500,1200,13,16,1729,584,3,1,0
"589","Porto Alegre",70,2,1,0,"1","acept","not furnished",375,750,26,11,1162,589,1,1,0
"593","Belo Horizonte",450,2,2,5,"0","acept","not furnished",0,1512,71,25,1608,593,0,1,0
"594","Campinas",360,4,6,4,"0","acept","not furnished",864,7700,300,116,8980,594,0,1,0
"597","Porto Alegre",152,3,5,3,"9","acept","not furnished",1600,6000,321,88,8009,597,9,1,0
"600","Campinas",92,3,2,3,"6","acept","not furnished",700,2100,167,27,2994,600,6,1,0
"601","Belo Horizonte",58,1,1,1,"0","acept","not furnished",0,1100,34,19,1153,601,0,1,0
"602","Campinas",41,2,1,1,"5","not acept","not furnished",248,1193,0,16,1457,602,5,0,0
"604","Campinas",214,3,3,2,"1","acept","not furnished",2016,5900,227,75,8218,604,1,1,0
"606","Belo Horizonte",100,2,1,0,"0","acept","not furnished",0,777,25,13,815,606,0,1,0
"607","Belo Horizonte",80,2,2,1,"4","acept","not furnished",250,1200,0,16,1466,607,4,1,0
"608","Belo Horizonte",311,3,4,3,"20","not acept","not furnished",3075,13000,1753,174,18000,608,20,0,0
"610","Campinas",96,3,2,2,"10","acept","not furnished",800,3200,189,41,4230,610,10,1,0
"611","Rio de Janeiro",140,4,2,1,"1","not acept","not furnished",1700,6000,380,78,8158,611,1,0,0
"614","Rio de Janeiro",60,2,2,1,"2","not acept","not furnished",592,1250,0,17,1859,614,2,0,0
"621","Porto Alegre",42,1,1,0,"1","acept","furnished",360,890,0,13,1263,621,1,1,1
"622","Belo Horizonte",29,1,1,0,"1","acept","not furnished",0,1100,8,15,1123,622,1,1,0
"624","Rio de Janeiro",100,3,2,1,"4","acept","not furnished",2350,5000,333,65,7748,624,4,1,0
"625","Rio de Janeiro",39,1,1,0,"4","acept","not furnished",450,609,44,8,1111,625,4,1,0
"627","Campinas",750,4,5,5,"0","not acept","not furnished",0,10400,667,157,11220,627,0,0,0
"628","Belo Horizonte",142,4,3,2,"3","acept","not furnished",900,2700,277,36,3913,628,3,1,0
"629","Campinas",650,4,4,8,"0","acept","not furnished",0,7500,200,113,7813,629,0,1,0
"632","Belo Horizonte",300,4,2,2,"3","acept","not furnished",1750,8000,500,107,10360,632,3,1,0
"634","Rio de Janeiro",115,2,2,0,"13","acept","not furnished",950,4500,2731,58,8239,634,13,1,0
